"Date","Category","L","S","A","Real.estate","Private.businesses","Liabilities","C","Fixed.income","Mkt_RF","dlnL","dlnL_lag","shock_loc_raw","shock_loc","shock_glo_raw","shock_glo"
2025-07-01,"Top1",28191848,0.504291410312232,55903883,6436685,8465812,1002255,5132544,5516075,0.0737716504480002,0.0972693265921336,0.0929505360805578,0.0148162931809778,0.556384725692784,0.0714331604098922,0.764575320028465
2025-10-01,"Top1",28973344,0.508928727321604,56930062,6378507,8458069,1010055,5369053,5582992,0.0146087317279999,0.0273433767358959,0.0972693265921336,0.00872879132147886,0.327785506516959,0.00138915056679336,0.0148685881050094
1990-01-01,"TopPt1",286986,0.156081351175698,1838695,162843,598192,42263,182734,722393,-0.0506120268799999,-0.105218338337378,0.0432258625905906,-0.0362276452731303,-1.00550228553382,-0.131783495402352,-1.1573773771752
1990-04-01,"TopPt1",303669,0.161416163463174,1881280,174074,606975,41181,177646,738032,0.036445764032,0.0565048583442049,-0.105218338337378,0.0173540106952528,0.481662478631951,0.0325494522812998,0.28586280546591
1990-07-01,"TopPt1",217487,0.119649622957376,1817699,186829,617257,39630,184198,754663,-0.17215046308,-0.333799213798722,0.0565048583442049,-0.106611447689565,-2.95901247535498,-0.360597824728904,-3.16691982805287
1990-10-01,"TopPt1",267979,0.140625549361599,1905621,197149,622288,37980,190132,804434,0.0687405876799998,0.208769540604244,-0.333799213798722,0.135965504394748,3.7737375529642,0.188832743318642,1.65840756097465
1991-01-01,"TopPt1",345614,0.173634629461327,1990467,207487,617531,35899,202997,779028,0.152021888126,0.254413926136946,0.208769540604244,0.0526613380203354,1.46162123813191,0.224938397519016,1.97550240833805
1991-04-01,"TopPt1",341274,0.172140214422444,1982535,218977,618490,34643,189657,786815,-0.017367137488,-0.0126368716721981,0.254413926136946,0.00508020526905127,0.141001656897659,-0.0429148599358274,-0.376896119523345
1991-07-01,"TopPt1",380113,0.188894233779554,2012306,231156,615830,34107,185292,790366,0.049624999488,0.107782903239771,-0.0126368716721981,0.0479756905861585,1.33157057740721,0.0821998514090153,0.721913226975005
1991-10-01,"TopPt1",489087,0.230230962015354,2124332,244455,607969,33780,186577,796828,0.0756420646999998,0.252071810824207,0.107782903239771,0.153809106605946,4.26898869805652,0.224371696647595,1.97052540597363
1992-01-01,"TopPt1",475363,0.226043643038179,2102970,256844,604289,33373,173872,791834,-0.0217918814200001,-0.0284616650596838,0.252071810824207,-0.0048800026911874,-0.135445012293953,-0.0586984773275775,-0.515514401300039
1992-04-01,"TopPt1",477586,0.228583216350114,2089331,268143,603995,33112,165043,769216,-0.00969193191000017,0.00466552571514001,-0.0284616650596838,0.0228973319327465,0.635517970252382,-0.0206393153795794,-0.181263037740636
1992-07-01,"TopPt1",512047,0.242252075157485,2113695,281275,610194,32087,161793,763475,0.025156254284,0.0696721692855142,0.00466552571514001,0.041169125986359,1.14265362710219,0.0437849294256032,0.384537431062112
1992-10-01,"TopPt1",601236,0.267920094007051,2244087,280331,602656,32034,167338,843154,0.0681182208840001,0.160571118624155,0.0696721692855142,0.0735517298703665,2.04143636529621,0.133541017324468,1.17281266447227
